"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73"
"1",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"2",167,145,159,179,191,221,230,205,181,201,229,220,182,228,179,164,140,159,102,87,95,94,86,65,72,77,52,84,46,84,100,81,95,96,91,77,89,76,71,78,78,73,86,84,61,79,69,75,71,66,82,57,72,66,72,67,72,63,75,74,56,74,66,60,42,53,62,43,43,49,46,41,30
"3",107,109,108,108,121,215,181,193,186,186,488,265.863905825133,247.654519178457,268.701882929018,459,394,367,373,103,70,61,68,58,65,48,46,42,51,38,79,102,82,85,81,78,73,65,67,74,91,72,68,55,73,62,73,55,59,45,46,62,54,60,58,52,61,48,42,52,45,51,45,52,46,55,57,54,47,47,47,40,35,33
"4",174,148,159,124,145,219,223,233,268,233,1e-04,248.539114291158,233.665455893508,250.622167824925,1e-04,1e-04,1e-04,1e-04,88,115,95,84,54,68,77,68,58,48,45,77,77,113,84,107,98,82,90,86,85,70,78,76,80,91,97,78,76,65,59,63,61,63,65,62,56,70,55,60,61,51,58,51,48,48,46,53,55,51,44,37,45,49,32
"5",178,193,196,180,188,268,248,274,239,270,1e-04,232.436575303347,220.511197891778,233.865116667073,1e-04,1e-04,1e-04,1e-04,129,105,113,127,88,89,85,73,63,58,52,96,106,88,117,102,84,107,99,94,75,80,92,103,69,95,97,81,77,73,55,70,75,79,60,61,73,60,66,59,61,60,68,69,71,59,52,59,67,58,53,46,43,52,44
"6",126,181,164,166,140,220,237,250,262,264,1e-04,217.52547033694,208.16896144855,218.396705781,1e-04,1e-04,1e-04,1e-04,169,134,137,119,106,119,107,82,74,53,51,89,80,108,88,106,73,93,95,81,82,69,72,79,76,89,75,92,77,74,57,81,68,63,61,77,59,57,62,58,65,54,55,45,69,49,48,45,54,48,60,50,46,40,37
"7",76.4930940133733,74.0009261910947,85.7914375862285,103.613922073546,94.6618918903609,176.893462892228,173.939190075347,171.0564736328,158.723759641293,190.39243902145,188.823023626909,203.856649974869,196.662761646618,204.277543970141,177.835435850858,179.036623819436,176.850321051386,185.486444374354,135.298538548247,127.583047271443,118.738543993534,117.487817295142,97.6131807462347,93.3743356254743,85.8776710022966,74.5030066806151,82.0669474984217,73.8409268693277,51.9554163378744,84.9849472917208,84.7151801418086,75.4762223756453,84.7654264198553,67.6541776882252,62.4688479487619,62.6478352395622,62.0640527115343,71.3338560174361,65.4266023379981,63.5591297138012,59.514099298963,62.0255042605575,60.2432379627261,60.6546576070708,58.7192497528193,56.3801162891727,57.329439464676,51.5964200863785,53.717749135928,53.3568252869949,52.9468413899339,48.5759167129909,56.9270019571178,56.014908852175,55.8220694631995,48.7744640071041,47.1779848998787,46.5035066518559,41.4017437724324,47.4852100743707,42.0293770475896,43.8379264751994,47.8720872911271,44.5222749291439,43.3254668501118,43.3812740182588,46.2129103671456,37.8879310437951,36.7630772452858,34.4346265909978,37.5406580450011,36.2037188782808,37.8446967012364
"8",75.472679495368,73.6178630467965,83.3543872102629,98.8640712780886,91.7408758993663,163.523749553624,161.145171513048,160.391867477213,151.160595983108,179.502153629737,178.71723192874,191.442435671251,185.997774059184,191.523062438938,172.829807331514,174.228366517727,173.298950340367,181.204733308963,132.176501331852,125.563947202014,117.711424648772,116.21028934357,98.2392097995205,95.0830162098733,87.8090334914038,76.3125505664112,83.4906454432179,75.7592281503318,54.5882081266333,87.4731426933564,86.8710461611911,77.6312009002147,85.7461892262265,70.1254673384417,64.812166454247,64.5783111062936,63.8351485068485,71.5479453944359,66.341487969126,64.5846230789303,60.7693055627017,63.3134809866325,61.7777923393951,61.6049232006587,60.0768614307946,57.8830641671592,58.3015402959451,53.1384323039927,55.689387190123,55.11832062865,54.9966799966048,50.8180280230164,58.6292783412832,57.740912231521,57.3924930639663,51.0969437818318,49.0600248328074,48.3240639325489,43.5288834768907,48.9607708674608,44.0133657129231,45.6955415333082,49.5472298207682,46.0201768783616,45.1226464769135,44.8182382236955,47.6848243826775,39.8756744661211,38.9896265701521,36.413029484404,39.0910184707347,38.5118424665734,39.8517104388849
"9",74.4976770460719,73.2678674645483,81.0410690927906,94.3991286484159,88.9567947024192,151.307465914102,149.417021895895,150.491391315644,144.023619094735,169.301861921169,169.266182672237,180.284478875831,176.225177920073,180.159263682531,168.027795679863,169.637949763436,169.893004030142,177.101397563848,129.189631008034,123.628210311727,116.749831591677,114.997616819597,98.9126099569957,96.8387560123211,89.7916878857376,78.1878925468456,84.9610841432112,77.7452497793272,57.3604213355806,90.0721492686037,89.1295576067977,79.8824810436856,86.791417883623,72.708940471222,67.2680384144747,66.5975781493045,65.6921158238522,71.8129462458128,67.3045635444799,65.6544763567153,62.0769620131626,64.6512080135984,63.3700512433255,62.5952494080364,61.4882932004962,59.4432336206639,59.313479327054,54.7446681334974,57.7464009782154,56.9552128431079,57.136563827592,53.1719417924814,60.3953296419916,59.5322448686319,59.0278889514812,53.539109511294,51.0340477112469,50.2313158058917,45.7808242955354,50.5047837476667,46.1052847777746,47.6463634509145,51.2947358038522,47.5846256199545,47.0076453807135,46.3193243865133,49.2208930340226,41.9705956241416,41.3532987515069,38.5106731396876,40.7136158874763,40.966318729009,41.9695974352898
"10",73.5918874406622,72.975350629705,78.8875242411704,90.2514473156923,86.3390245120089,140.242110675717,138.750932800892,141.369802309284,137.336588338346,159.795169410211,160.50931445594,170.380071359185,167.387153701974,170.204064613191,163.46913786079,165.324227001403,166.685017081479,173.231160633354,126.381522555389,121.813606299441,115.897447201778,113.888573239392,99.6694114013079,98.6559417977678,91.8336074079524,80.1497311667748,86.4979055378617,79.81646890514,60.2848202892597,92.8189710031102,91.535326421811,82.2636669616974,87.9464617795222,75.4286209694247,69.8631817268561,68.7345646763491,67.66877262618,72.1700143072076,68.3464534664856,66.7930954967489,63.4606675841817,66.0596087612549,65.0378237482466,63.6476679292,62.9743360341222,61.0772666942707,60.3858752969012,56.4332006825359,59.9037556720985,58.8854990230883,59.37975639407,55.6506010121986,62.2385184186811,61.401759588259,60.7484995465207,56.1152148474091,53.1192606154767,52.2427967909385,48.1787477018119,52.1395938710931,48.3236486621411,49.7077623987984,53.1295755415958,49.2324181691269,48.9963610703458,47.9015271912463,50.8386412417176,44.1810766346008,43.864618077893,40.7398059062513,42.4190069897512,43.5756909142282,44.2084757398237
