"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73"
"1",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"2",126,145,166,163,157,195,193,176,194,183,206,195,201,155,148,166,147,134,99,84,89,87,68,68,55,62,53,62,67,80,78,60,95,83,96,96,84,83,77,82,82,63,69,63,65,64,78,77,64,60,70,60,70,71,73,67,67,68,57,60,54,50,52,57,64,48,58,55,49,48,47,37,42
"3",96,98,112,112,102,149,178,173,159,151,399,230.195347698892,213.295158807515,209.919257325173,355,353,350,316,66,63,81,71,54,55,48,38,42,39,38,66,57,69,63,69,57,54,69,55,77,65,74,77,61,64,68,40,51,57,51,48,50,49,50,39,53,37,53,48,50,46,45,51,61,40,34,38,44,37,26,40,31,35,38
"4",134,117,128,116,141,202,203,191,194,192,1e-04,211.595926531568,198.917728700385,196.04529109284,1e-04,1e-04,1e-04,1e-04,78,75,66,80,50,60,44,49,40,45,32,65,65,82,95,73,70,66,74,70,73,64,58,56,76,63,66,61,41,54,42,63,51,62,44,52,43,53,45,59,49,58,38,37,50,47,39,41,44,46,50,41,40,39,42
"5",156,154,130,131,149,215,197,191,205,228,1e-04,194.549686364685,185.53421268113,183.081522168367,1e-04,1e-04,1e-04,1e-04,127,98,91,71,88,54,62,53,51,38,19,68,60,90,79,84,63,61,67,73,71,66,75,72,57,65,64,58,56,60,55,54,60,61,59,44,53,43,54,49,46,43,45,43,45,45,37,54,52,36,43,34,44,28,43
"6",101,135,146,117,129,183,230,192,219,206,1e-04,178.955309971082,173.090404520721,170.964290651582,1e-04,1e-04,1e-04,1e-04,108,119,109,89,74,61,62,71,54,49,27,81,59,66,69,78,81,73,63,75,68,65,65,68,64,58,64,58,59,58,51,55,46,47,62,50,63,48,53,48,56,46,49,58,53,40,50,42,56,47,42,41,54,40,34
"7",51.8440533040049,59.1393372815126,67.0970657984514,62.2368055963829,82.4580445174483,114.719928151404,138.915288661014,122.80548351985,134.712200174301,130.466137890485,136.452408458495,164.761431555094,161.559477525363,159.637151336518,137.871353226935,141.428644146339,133.902741123706,146.417606743002,102.189369012778,97.4463289947333,89.5302674673672,80.7315386400551,70.6466541550219,68.4122218329933,62.0767074554126,56.9827794128783,49.6993671261341,44.6815816864854,37.7336226559468,64.0232485549985,59.85010702477,59.8072164304471,54.8791615260427,55.0959707830927,47.0262834942458,49.6804181251004,52.0076316597515,45.9555778349427,45.3466353965526,54.7040322087987,48.6060101667547,45.655710514935,47.2544232889841,47.9980628605816,46.2553934568296,45.2670404760031,43.9015560324031,50.7390532868105,41.1151223112469,47.863016247756,45.1771044340178,48.9176762853047,47.9799722171029,45.4810681579987,44.5379115354465,44.0295158266609,37.7004920134026,45.2691349818064,46.1050018578138,40.227497888325,41.331475456782,36.735630345674,37.3373189112762,39.2770753140261,36.8215387095876,38.4678006294352,36.9303718242608,41.1407324338559,36.3803815877104,34.799916334591,33.4785736391057,30.467074075914,34.8736803058384
"8",51.1088216437367,57.5618750264604,64.7039360669801,60.5185121022599,77.6705694180516,107.312680349213,127.53164036282,114.930708307441,126.297626896661,121.987184672584,128.827046075049,151.898645382433,150.905768687052,149.047761277806,131.899756511653,135.116841157876,129.092210476963,140.493015310945,98.5433912565847,93.832279630665,87.4182662726577,80.0251493769368,70.9167131964642,68.3998696728714,62.6155754621926,57.4607555110134,50.3972432740492,46.1477525363268,38.698875864412,64.6686554891528,60.9876353251036,60.3507488361356,56.1722563950095,55.8300833385421,48.0949539430385,50.2874486586158,52.2707709093506,46.5547817195697,46.056414459834,54.2632563683863,48.9676580745169,45.9076765197197,47.5623181565967,48.0701519651883,46.5507135820267,45.4224527240683,44.4867661644553,50.5638900530689,41.8582510006603,48.245019336295,45.7488096044111,49.3215207623233,48.3744843940228,46.1803433552054,45.1833499974533,44.7272526410989,38.5970220241538,45.8710713180238,46.2355950033962,40.7791001408552,42.0942583473837,37.4775701446764,38.2131899082659,40.0437282017794,37.4372933815361,39.0103418665606,37.3104584569093,41.0932060454717,36.9354545138386,35.4561280321936,34.2175476281428,31.2490218943976,35.8031395466742
"9",50.4107477993174,56.0595828938432,62.4369410072504,58.8766424252322,73.211820801433,100.45802107627,117.175656304531,107.616927581629,118.455776256416,114.107596271764,121.65891916095,140.316052251913,141.117916951577,139.222127149041,126.232533698459,129.128854188058,124.49921292008,134.83789824631,95.0635956798612,90.3921928660443,85.3899950473658,79.3444693002781,71.1991210056574,68.4048146323457,63.1675491436114,57.9596608231929,51.118508375847,47.6665262751815,39.6997185129186,65.3413569989811,62.1653330731536,60.9203342517304,57.513029407144,56.593920525749,49.2011423949631,50.9201370577092,52.5576409772083,47.1815759943891,46.7925344665315,53.8556265148936,49.3497312874171,46.1824710642873,47.8902785493799,48.164265867313,46.8638243376891,45.5917500146779,45.0901113422502,50.4089157616358,42.6235728662602,48.6433892808452,46.3376260164669,49.7400289210456,48.7832160652681,46.8937222895052,45.8469547396446,45.4453553317902,39.5236659191192,46.4886262983082,46.3832546221247,41.3497404452064,42.8742156057076,38.247219910068,39.1168221247916,40.8315772082967,38.0755298047346,39.5693933438824,37.7031254306084,41.0615063372228,37.5046013040197,36.1323553842728,34.9791766654709,32.0537760910618,36.760709985307
"10",49.769771384839,54.6546229452992,60.3203275477027,57.3301601453082,69.0952633472334,94.1665559829331,107.817502475841,100.863075616674,111.180423654008,106.81838017185,114.942545802513,129.958781169007,132.180030703345,130.175580989821,120.887668178801,123.478778740506,120.147350417037,129.4618446446,91.7694471272841,87.1475555132477,83.4685053642202,78.7044990564024,71.5031489833535,68.4409618158015,63.7397278287757,58.4936954248114,51.8749724848979,49.2436613659105,40.746628294339,66.0589627254383,63.3999024314445,61.5337582731652,58.917615715657,57.4046967007231,50.35721020184,51.5941224024909,52.886731388722,47.8529900492028,47.5683515830545,53.5040554728444,49.7670399002215,46.4978336430954,48.2533158433684,48.2981915904743,47.2079356993789,45.7858577527541,45.7205415104937,50.2896410880045,43.4189897951953,49.0692789156311,46.9520727517489,50.1827045011748,49.2153724083033,47.6242633912862,46.5364425715029,46.1920565160735,40.4888125565006,47.1284208431122,46.5616093683771,41.94936436024,43.6743166471447,39.056119119788,40.055153493853,41.6463948993567,38.7470154964065,40.152671743603,38.1157314665709,41.0582653486072,38.092788045448,36.835534997277,35.7694631064663,32.8843230047396,37.7500791391617
"11",49.2331706210293,53.4003504254499,58.4146038217125,55.9251109176214,65.3737070462657,88.5045482041818,99.4938002344713,94.7104830995791,104.501591625792,100.147317485723,108.697375824351,120.767511607913,124.083656988222,121.980028223004,115.921718462177,118.215999538258,116.099675315165,124.400019871245,88.7123258310356,84.1548709173648,81.7093055125632,78.1407815933008,71.8509555271026,68.5414564514653,64.3491056114241,59.0969613887646,52.695001587784,50.8910802802235,41.8643535897167,66.8638156849024,64.7313715794896,62.2337881211951,60.4244166742972,58.3038647774924,51.5925408589328,52.3470647659863,53.302420328584,48.6100863462843,48.4159935498617,53.2629836283191,50.2551682309456,46.8963770570962,48.6874829410163,48.5144956664345,47.6147552874274,46.0309231994066,46.3995306876303,50.2429852443964,44.2633366290433,49.5494610226256,47.6125804105945,50.6723467715698,49.6930341919783,48.379129317264,47.2702763062805,46.9870401560558,41.5122243554268,47.806286714256,46.8032771577655,42.6018682299292,44.5013983089434,39.93193755648,41.0444311059883,42.5017907051974,39.4776271922037,40.7786764219602,38.5659375299468,41.1136072414196,38.7118415870945,37.5821825903406,36.6025185153744,33.7472283674912,38.7793279183985
"12",48.8505751412369,52.350249145541,56.7783019944221,54.7072724816599,62.0920338760129,83.525122461764,92.221286765388,89.1905088617276,98.4412252636505,94.1136287119088,102.938221547295,112.699052141499,116.829568562373,114.713575948924,111.386390750668,113.385128109438,112.416190888337,119.684712494331,85.9412419747687,81.4678494576586,80.1682625955109,77.6909468511386,72.2669904847731,68.7424975378067,65.0147235802658,59.807863656081,53.6110929332425,52.6228949939874,43.0822122034263,67.8039135039172,66.2063498239942,63.0687972520035,62.0787293348747,59.338963789258,52.9416696149825,53.2220121125764,53.8543851587539,49.5000308072153,49.3725349510898,53.1909050692281,50.8541666858502,47.4259445706315,49.2332600841603,48.8603062440206,48.1198183033969,46.3559075255929,47.1515911771318,50.3090185358119,45.1784020386935,50.1140254149039,48.3424064170287,51.234558316534,50.2409918108616,49.166486444072,48.0695758202629,47.852927288386,42.6171444261402,48.5402468309344,47.1444046726441,43.3346127551709,45.3633179771237,40.9070499471644,42.103709864096,43.4135334623821,40.2973171069752,41.4685705367906,39.0737101108441,41.2604876300163,39.3752976217603,38.3914520225121,37.4948308404818,34.6501668370574,39.8579265521897
"13",48.6734923014204,51.5573012948886,55.4634414385686,53.7235760940529,59.2896779931288,79.2634512383722,85.9952889004442,84.32910932214,93.0197506982575,88.7390458766433,97.6900458344271,105.682725413117,110.390864742392,108.394194255418,107.323953831351,109.024145382809,109.140603784677,115.351642367719,83.4997180933363,79.1314585321676,78.8948482217227,77.3913940219917,72.7769857742085,69.0795687072432,65.7596822487005,60.6652069198843,54.6605611812354,54.4553132348315,44.4326105218461,68.9308931999927,67.8738585410144,64.0915954337976,63.9307712615115,60.5636341453368,54.4456141884434,54.2696899755106,54.5981599312706,50.5745939639594,50.4806903037173,53.3486400694301,51.6095613846769,48.1391913802533,49.937970826538,49.3874528660666,48.7635134001801,46.7957032787782,48.0069399434756,50.5302338081931,46.1909929177978,50.7964964366968,49.1689120840281,51.8996213713879,50.8874779030892,50.0021449732088,48.9582641592977,48.8152856517376,43.8311195851408,49.3526968442732,47.6238011726363,44.1786956795901,46.2745648715563,42.0181109559554,43.2573957997652,44.4020642569026,41.2400198235544,42.2483633580837,39.6640227256477,41.535261901369,40.1019466505916,39.2871957964065,38.4677887024976,35.605808662134,40.9977816977587
"14",48.7690969645934,51.0901719134955,54.5380928512783,53.0340142584521,57.020235271758,75.7732330306713,80.8318322227731,80.1647451630943,88.2676366074761,84.0555422610191,92.985144626491,99.6825223533224,104.766468704924,103.082559355472,103.789176839906,105.182190835066,106.32959178288,111.445341529123,81.4431355928115,77.2036005069406,77.9523905356856,77.2885804212884,73.4140920930331,69.5985461553731,66.6139370786807,61.7199512216767,55.8927707209644,56.4095267618889,45.9589164987364,70.3129576052533,69.7991449865174,65.3720492654612,66.0478116725717,62.0493276233602,56.1592746627509,55.5576698372461,55.6073824550401,51.9030955112427,51.7974139792631,53.8163335996853,52.5815523956826,49.1062270481832,50.8642341321764,50.1644919254022,49.5990609280235,47.395886043437,49.0054350786384,50.9620607850789,47.336613515732,51.6408605984667,50.1280600073815,52.7071380993741,51.6693828546161,50.9068619290016,49.9677680061278,49.9077990482169,45.1908774073555,50.2729881209668,48.2924171327629,45.1752749714519,47.2542444215927,43.3142604301175,44.5379873203747,45.4943946527469,42.3509965381673,43.1523807440034,40.3696751071025,41.9854900755893,40.9165116239305,40.3010673282278,39.5498334820905,36.6309961288449,42.2145497296292
"15",49.1738905022517,50.9809485658868,54.0185687002465,52.6704497233507,55.2937588969982,73.0307044773057,76.6655165142739,76.6914018781371,84.1819270132507,80.0690346335636,88.8510678758718,94.6210763893153,99.9044245328074,98.705022891508,100.780006381528,101.860751014198,103.964972566831,107.990412270369,79.7817876787975,75.6877198522022,77.3519056205173,77.3982909768122,74.1949973486745,70.3153985125292,67.601747739413,62.9924706899948,57.3419127212276,58.5003799644808,47.6863914777005,71.9877222016987,72.0129688524378,66.9514271778733,68.4697918617416,63.8431303017952,58.1242646608528,57.1373163496989,56.9306896416686,53.5269939751708,53.3626410586039,54.6368310922558,53.8115895826302,50.3709398438715,52.0592645629719,51.2348428446853,50.66312348027,48.1936476743546,50.1808296433782,51.63534544277,48.6449904186778,52.6750746560411,51.2466697819904,53.6873874597639,52.6118392329176,51.9137340931556,51.1187192723408,51.1523641649563,46.7240086852372,51.3263272681169,49.1791858004411,46.3519571533175,48.3317359292423,44.8275675106,45.9754115795474,46.7160280751736,43.6601309807081,44.2094404457147,41.2195408295096,42.6416662328049,41.8456010738012,41.4603965971517,40.7679081450069,37.7492521340232,43.5222255694718
"16",49.9468662621564,51.2867283231897,53.9439347287765,52.6883088418663,54.1540831107689,71.0497464691769,73.4806007019637,73.9370610655844,80.7892563103874,76.8197832494057,85.3440017501496,90.4644764080425,95.7835758345779,95.2295029906357,98.3146418681562,99.0820459216914,102.038299721564,105.034120655609,78.5440068682329,74.6043354192508,77.1179016915433,77.7454457707601,75.1438081021484,71.2535001238542,68.7585536317425,64.5109263025302,59.0573511536991,60.7473603940444,49.6488619231794,74.008958371217,74.5559750724936,68.8895432204258,71.2510619723005,66.013195560119,60.4000648077254,59.0845324640748,58.6407189627713,55.5057711206702,55.2341390935933,55.8774321844282,55.3610532108717,51.9986337304283,53.5937731575856,52.6640384171198,52.0100615956247,49.2448177063192,51.5828115430895,52.5970701588852,50.1593737394302,53.9399029510584,52.5637218043572,54.8849468316348,53.7515210382253,53.0725473812678,52.4404778150031,52.5799975075663,48.469591936542,52.5495820968823,50.3269907585863,47.7485192226758,49.5512380819907,46.6032492580467,47.6132453745094,48.1042502724843,45.2101141995214,45.4618524029111,42.2564468367073,43.5499969802912,42.9287259769646,42.80506895426,42.1614510460029,38.9958656036613,44.9406260498416
"17",51.121638743903,52.0355966289959,54.3186115793393,53.117569381762,53.6092975220433,69.7963907664352,71.2111995155153,71.8898893979119,78.0802925159685,74.3097416763275,82.4894019432052,87.1501830171226,92.3532148205209,92.5631625862335,96.373415827335,96.8327416752104,100.503374376689,102.594340684028,77.7248279318724,73.9380525477388,77.2399597234881,78.3324224578912,76.2716449109101,72.4150763509754,70.1121353532632,66.2807846439503,61.0729689134774,63.1651956236306,51.8647549074902,76.4044381652996,77.4422873065767,71.2217461656392,74.4218863738996,68.6050197234107,63.0328322844493,61.4581547354188,60.7876484721687,57.8761580219778,57.453910376789,57.5761629703124,57.274123988594,54.0324987024859,55.5223890936843,54.4958899064023,53.6787397745887,50.5942552188561,53.2529719070289,53.8740728041172,51.915694755591,55.4615292700775,54.1084058055474,56.3335436106166,55.1134942887365,54.4348203305705,53.9525632147488,54.2107767964644,50.4572259256685,53.972539852281,51.759734397627,49.3920423747622,50.9587532340885,48.670581018585,49.4892120527148,49.6917590143508,47.0294593481674,46.9441295990783,43.5164918820443,44.7411061563539,44.2030904479202,44.3686653384386,43.7658709912811,40.4081894427925,46.4881205722605
